headline,label
Kal ka plan final hai na  Time pe pahuch jaana ,0
Tune suna Sharma ji ka beta first aaya exams mein ,0
Chalo beach pe chalte hain weekend par maza aayega ,0
Tu itna late kyun ho gaya aaj  Traffic tha kya ,0
Woh new series dekhi kya Netflix par  Bahut acchi hai ,0
Yaar chai peene ka mann ho raha hai chalte hain ,0
Tu kal office aayega ya work from home karega ,0
Nayi job kaise chal rahi hai  Adjust ho gaya kya ,0
Kitna time lagta hai tujhe ready hone mein  \U0001 f605,0
Main kal shopping jaane wala hoon kuch chahiye kya ,0
Tere ghar ka khana hamesha lajawab hota hai ,0
Aaj mausam kitna achha hai bahar chalte hain ,0
Tu bike le ke aayega ya main pick karoon ,0
Aaj koi nayi recipe try ki kaafi acchi bani hai ,0
Uske saath kitne saal baad mulakat hui maza aaya ,0
Tere se milna kaafi time se plan kar raha hoon ,0
Kal ka project submission ka time kya hai ,0
Kitna accha lag raha tha woh jaha hum gaye the ,0
Apna phone charge kar le phir call karte hain ,0
Chalo iss baar Goa ka plan pakka karte hain ,0
Yaar tujhe online shopping zyada pasand hai ya offline ,0
Kal ka match kaafi exciting tha dekhne ka maza aaya ,0
New year ke liye kya plans hain  Party ya trip ,0
Tere shoes bahut stylish lag rahe hain kahaan se liye ,0
Uska birthday kaafi special tha maine surprise diya ,0
Tune jo new restaurant recommend kiya tha bahut accha tha ,0
Tere ghar ka interior design kaafi classy lagta hai ,0
Kal raat ko movie night plan karte hain theek hai ,0
Aaj ka din kaafi productive raha kaam jaldi khatam ho gaya ,0
Tere saath ghoomne ka alag hi maza aata hai ,0
Mujhe naye hobbies try karni hain koi suggestions ,0
Aaj ka mausam bahut suhana hai long drive chalein ,0
Tu kal ke dinner ke liye kya plan bana raha hai ,0
Kuch books suggest kar jo tujhe recently acchi lagi ho,0
Tere room ka decor kaafi unique lag raha hai ,0
Gym jaane ka mann kar raha hai tu bhi chalega ,0
Aaj ki meeting kaafi useful thi ideas achhe the ,0
Tu kitna quickly adapt kar leta hai new situations mein ,0
Apni job ka schedule itna hectic ho gaya hai ,0
Tere paas koi interesting podcasts hain kya ,0
Naye headphones ka sound quality kaafi crisp hai ,0
Tu kab wapas aa raha hai trip se  Photos share kar ,0
Mujhe kal wali party mein kaafi maza aaya ,0
Tera presentation kaafi impressive tha sab impressed the ,0
Yeh nayi app kaafi useful lag rahi hai tu bhi check kar ,0
Aaj toh ghar par movie marathon plan kar raha hoon ,0
